DATE,real_pc_y,real_pc_cm,real_pc_xall,real_pc_xmarket,real_pc_xhome,pc_hours,productivity,real_pc_kall,real_pc_kmarket,real_pc_khome,solow_residual,relative_price_investment,tau_k,tau_n,return_business_capital_pre_tax,return_business_capital_pre_tax_no_gain,return_business_capital_after_tax,return_business_capital_after_tax_no_gain,return_business_capital_pre_tax_adj,return_business_capital_pre_tax_no_gain_adj,return_business_capital_after_tax_adj,return_business_capital_after_tax_no_gain_adj,return_all_capital_pre_tax,return_all_capital_pre_tax_no_gain,return_all_capital_after_tax,return_all_capital_after_tax_no_gain,return_housing_capital_pre_tax,return_housing_capital_pre_tax_no_gain,return_housing_capital_after_tax,return_housing_capital_after_tax_no_gain
1952-01-01,25.669653404403842,11.822867898861277,6.352650466526342,2.5293826349504274,3.8232678315759143,0.7995534273794696,32.104988266432606,64.91473219923337,27.904236508576506,37.01049569065686,31.012051602915562,2.075435486399726,0.4506972614298255,0.16031110707174806,13.547209019553886,12.04416809447375,7.9355303593368065,6.488644950007094,13.197725838344375,11.698161640291694,7.750624060767364,6.305601195764199,9.635090979895233,8.17112306325889,6.243579116927367,4.813766433349498,4.431973787538213,3.0205164910862115,3.9541264341084403,2.5475239217010115
1952-04-01,25.58973825376897,12.010175895917808,6.41654483234614,2.553391464506068,3.863153367840072,0.7924871817667618,32.29041281995187,65.39610555610088,28.178867526209537,37.21723802989135,31.0923256884626,2.0740908308200603,0.44525932998937334,0.16188460429642754,11.373246133881354,11.654473964867783,6.074977189938147,6.346113315278257,11.03729199089356,11.317883545560491,5.895210292277331,6.16600183060545,7.718178036815626,7.9924572086515155,4.496704628094084,4.764810411704934,2.85730271185205,3.1222486333184696,2.362969434170825,2.626960088084429
1952-07-01,25.80917661858502,12.156404892860998,5.9988717789542205,2.292257442405292,3.7066143365489284,0.7965749953963572,32.40018424849373,65.76739084144688,28.395356844529715,37.372033996917175,31.205965431304428,2.055767454567227,0.44283103416229147,0.16007437363618054,7.8462472875812095,11.63490026579279,2.7109129802471266,6.364022510915102,7.521746948496055,11.301883893725462,2.536521746078524,6.184998748096415,4.312459671940316,8.00802048684588,1.189603083156765,4.802233264211342,-0.37152141518627113,3.1994101262297736,-0.8602536633512736,2.6975897397139237
1952-10-01,26.496753344394236,12.266165940613192,6.540061625501364,2.475702597648131,4.064359027853234,0.814925995009183,32.51430621512529,65.66606210277088,28.319357672684944,37.346704430085936,31.57899822919425,2.044796470834246,0.4467148094758749,0.16000876687647803,10.037503800930736,12.348930012064429,4.475639398391551,6.699103012203289,9.687698608720341,11.993626012047054,4.289384003276875,6.509881858895916,6.184991435375409,8.43561151791954,2.8211207594152965,5.018192493511164,1.1054004537583317,3.2749910678623984,0.6010155868507061,2.762505113448599
1953-01-01,26.665948626452668,12.213724312674557,6.736746697010023,2.582994302117105,4.153752394892917,0.815965605803114,32.68023607466483,65.77258190476097,28.28609127556374,37.48649062919723,31.94862807664849,2.0432471867579687,0.4578238975264146,0.15880701408414105,12.333773242098523,12.664830509852031,6.408033048610373,6.7259090320056725,11.960472478486839,12.29070459444599,6.213590454354878,6.531030852356223,8.296739833402489,8.61883655892881,4.7394870397897915,5.053618664812154,3.0531625528325668,3.3634947281598437,2.5320503429718144,2.8412052650345743
1953-04-01,26.822094334431945,12.270291746341028,6.749825327576451,2.613298224927399,4.136527102649052,0.8164830828522037,32.85076555503743,66.24827517566925,28.407897024190625,37.84037815147863,32.11629824800774,2.0584802402519453,0.46788636741590384,0.1575678743983983,15.66644341346175,12.37606663519335,9.610445482069485,6.450601871266892,15.283151937781291,12.000985621249072,9.414441034714072,6.258851629421502,11.685554647636053,8.480786502271954,8.050140222649027,4.924215116896868,6.535310079409529,3.4424314067420747,5.994380196185389,2.913330254012081
1953-07-01,26.495497634900467,12.183330243643624,6.70156832674083,2.672997433356317,4.028570893384512,0.8076831362107386,32.80432195130954,66.65084583336277,28.53594966740814,38.11489616595462,31.83653929316941,2.062661311124271,0.4699768025894159,0.1570462606668367,12.877271441443305,11.990173071678356,7.080870381149773,6.2281948748843075,12.506186687772637,11.621278629125499,6.891703446322772,6.04015905739943,9.149565533967108,8.284552629723297,5.6641460246354525,4.81995396255368,4.34338222531776,3.507124583669907,3.8047422721733337,2.97172766469469
1953-10-01,25.81461915555351,12.043799582064578,6.522242724855774,2.6145518509832026,3.9076908738725713,0.7926860833899947,32.56600525286747,66.86195728507853,28.668368753875654,38.19358853120288,31.196532452250885,2.047515150961712,0.4460194369267275,0.15608627807806283,7.185973412750113,10.313755648726186,2.5926822452143616,5.619749198983048,6.870598806269723,9.991501182726537,2.4235345334893577,5.446871237131301,4.308113387357637,7.372924170604711,1.4957319868768915,4.49857998235117,0.5860223482690996,3.568735337707385,0.056372788553060715,3.0273416965289623
1954-01-01,25.502215241984114,12.093366100974354,6.352912976547158,2.525757265750383,3.8271557107967746,0.7742846005608075,32.93648772494388,66.8532683942643,28.717039693552803,38.136228700711506,31.318152486988666,2.0463315523209595,0.41952719394000465,0.15028242020939991,10.528192467018172,10.777657326443135,5.913662645328621,6.155276872372362,10.185298273294485,10.43418263038376,5.720794597442147,5.962078859923681,7.421371668334231,7.6655601779421545,4.6064591792332354,4.845834042865782,3.4059816804002274,3.6432938390778213,2.8929701805378683,3.129399039357139
1954-04-01,25.440166034653288,12.160270788439053,6.470117533583721,2.5044462170000026,3.9656713165837187,0.7661567329224969,33.20491087719355,66.90398312230447,28.73303156908336,38.1709515532211,31.50595602652355,2.054693264780756,0.4203453870722297,0.14964999435029017,12.775758124599479,10.997654414306135,7.990976696286212,6.269870350297468,12.415495962989986,10.641662518589513,7.788729544114736,6.070046097428561,9.555524012418658,7.8157125261222316,6.639203868167165,4.934313201847207,5.391040516658152,3.7011681468522184,4.8657694683237995,3.1822305482450908
1954-07-01,25.742165698305342,12.323273330425307,6.59533970816517,2.552293377257958,4.043046330907212,0.7595665597271407,33.89059901156352,67.099644500101,28.7353517626085,38.3642927374925,32.31277525315597,2.044730778636917,0.4243151715115877,0.14938912970017376,9.38640483902442,11.475655584636591,4.473395578998818,6.492031494884598,9.011608532696446,11.095500806172588,4.264828745666893,6.280448699006191,6.052408590624836,8.093828896027677,3.0766221850774267,5.07503114950425,1.772653527198953,3.7521172372911638,1.2559793690088972,3.227919522244238
1954-10-01,26.240449301542206,12.450587408194824,6.801195795193917,2.539390292202091,4.261805502991825,0.7657273219200662,34.26866007045969,67.36237107719431,28.765909975217763,38.596461101976544,32.96132583262653,2.046847743597906,0.42327434651343443,0.14912045309328165,12.651146581961182,12.19899451630273,7.34284392120812,6.906775456470826,12.237905940374594,11.786999050302182,7.11285894207887,6.677491737962904,8.932122925576525,8.49121869694085,5.74281334786142,5.311631458985655,4.203630232707201,3.777166544126609,3.6753219623789857,3.250481749616463
1955-01-01,27.00894493598108,12.547428778623962,7.174245197716634,2.5595565446413735,4.614688653075261,0.7760830890803299,34.801615079626444,67.8188606671576,28.777564192502318,39.04129647465528,33.88949369038054,2.0378015034091894,0.4199300821527511,0.15241439937587536,11.449168228454809,13.379141598528843,5.751517029944808,7.607165143119898,10.994221824470895,12.918296111791783,5.497640559993244,7.3499538176841295,7.23940179198721,9.114554167913713,3.857817898150806,5.688542045304135,1.9664301789905636,3.772146613546301,1.443451546461172,3.2422327277972895
1955-04-01,27.422548929747997,12.630890258197415,7.517238593882405,2.721680722148938,4.795557871733467,0.7897393741195409,34.72354276411843,68.67595016726331,29.156757561353032,39.51919260591027,34.04409657012592,2.045623219529871,0.41542418137678705,0.15299515527103283,15.33529376022491,13.636039885364038,9.445953366795369,7.812320216974977,14.854201619370922,13.160276374062096,9.175386466468316,7.544788879297992,10.87495234104594,9.22531772676296,7.396479255072674,5.785886646629357,5.345871396141577,3.7584419417368675,4.810532862141814,3.229168877432076
1955-07-01,27.836070267419057,12.684980248563503,7.754185373887253,2.8908363519331917,4.863349021954061,0.7954107050697965,34.995845655580496,69.86642326893914,29.69545908789523,40.170964181043914,34.33204808238147,2.07142174956881,0.4244862966551725,0.15361586614539716,19.104439503572145,13.456330055353893,13.01736954735697,7.588467414738198,18.614662680452486,12.984086958229257,12.746196515799092,7.327126716463783,14.57704178882484,9.091700790373004,10.99466233348123,5.639242058644478,9.007413929559881,3.7245100502296236,8.461729750466462,3.1987952913355544
